centre,heading,left_centre,left_angle,right_centre,right_angle,tracked
"(488.34313725490193, 726.01960784313724)",-0.528603092969,"(519.61333333333334, 696.70000000000005)",-0.283273581138,"(528.86470588235295, 713.4098039215686)",-0.997322825416,True
"(488.21604938271599, 726.06267806267806)",-0.528603779515,"(519.73158914728674, 696.69476744186045)",-0.298027265536,"(528.94940476190482, 713.23412698412699)",-0.963848013591,True
"(488.21604938271599, 726.06267806267806)",-0.528603779515,"(519.73158914728674, 696.69476744186045)",-0.298027265536,"(528.94940476190482, 713.23412698412699)",-0.963848013591,True
"(488.47828074988564, 725.81435756744395)",-0.527526076781,"(519.73158914728674, 696.69476744186045)",-0.298027265536,"(528.99311701081615, 713.12192723697137)",-0.983264756799,True
"(488.29896421845569, 725.90630885122403)",-0.527266881906,"(519.73158914728674, 696.69476744186045)",-0.298027265536,"(528.99311701081615, 713.12192723697137)",-0.983264756799,True
"(488.29896421845569, 725.90630885122403)",-0.527101995574,"(519.71840796019899, 696.64577114427857)",-0.270242550275,"(528.963184079602, 713.21194029850744)",-0.962582935561,True
"(488.53831948291776, 725.71837488457982)",-0.527813840584,"(519.71583087512283, 696.52015732546704)",-0.256646482035,"(528.99606686332345, 713.15437561455258)",-0.986212816944,True
"(488.3040189125295, 725.90969267139474)",-0.528619625964,"(519.76458951533129, 696.52324431256181)",-0.269836371677,"(528.99606686332345, 713.15437561455258)",-0.986212816944,True
"(488.52689721421706, 725.77953890489914)",-0.527607608313,"(519.82987141444107, 696.50544015825915)",-0.304573981001,"(529.17895771878068, 713.12487708947879)",-0.969292564471,True
"(488.68761904761902, 725.7171428571429)",-0.527322943284,"(520.16031280547406, 696.43792766373406)",-0.319869157174,"(529.19550342130981, 713.08015640273697)",-0.979003623221,True
"(488.72540592168099, 725.71060171919771)",-0.527436698994,"(520.21042281219263, 696.42871189773837)",-0.326293829471,"(529.19550342130981, 713.08015640273697)",-0.979003623221,True
"(488.76024208566105, 725.7174115456238)",-0.528622556894,"(520.33429951690812, 696.37198067632846)",-0.3338551445,"(529.2164251207729, 712.99227053140089)",-1.00004553881,True
"(489.12704918032784, 725.66666666666663)",-0.531690051573,"(520.37998056365393, 696.35082604470358)",-0.329434029574,"(529.46628679962009, 712.8727445394112)",-0.99238451062,True
"(488.98622589531681, 725.6441689623507)",-0.530252912796,"(520.43422354104837, 696.24727992087037)",-0.295809478268,"(529.46628679962009, 712.8727445394112)",-0.99238451062,True
"(488.98622589531681, 725.6441689623507)",-0.529609860637,"(520.43422354104837, 696.24727992087037)",-0.295809478268,"(529.54918815663802, 712.88634192932182)",-0.977612827952,True
"(489.01556776556777, 725.57417582417577)",-0.529420927486,"(520.5090909090909, 696.09393939393942)",-0.253610748706,"(529.70185728250237, 712.8191593352883)",-1.02360771155,True
"(488.87023977433006, 725.71133051245886)",-0.530542717732,"(520.5090909090909, 696.09393939393942)",-0.253610748706,"(529.8250244379276, 712.74193548387098)",-1.00229855836,True
"(488.89077212806023, 725.69726930320144)",-0.530501372537,"(520.5090909090909, 696.09393939393942)",-0.253610748706,"(529.8250244379276, 712.74193548387098)",-1.00229855836,True
"(488.98877980364654, 725.58204768583448)",-0.528811778145,"(520.6347305389221, 696.15768463073846)",-0.298195278719,"(529.80077745383869, 712.66763848396499)",-0.996191996436,True
"(489.03479078514334, 725.62200282087451)",-0.529590758379,"(520.66870540265029, 696.02854230377159)",-0.277090802427,"(529.90178571428567, 712.77579365079362)",-0.987017450817,True
"(489.09288824383162, 725.54523463957423)",-0.528710362031,"(520.66870540265029, 696.02854230377159)",-0.277090802427,"(529.90178571428567, 712.77579365079362)",-0.987017450817,True
"(489.41760299625463, 725.48735955056179)",-0.530629004458,"(520.79282051282053, 695.9979487179487)",-0.288422182706,"(529.98265895953762, 712.7649325626204)",-1.005634832,True
"(489.43568075117366, 725.45915492957749)",-0.530453195207,"(520.82712215320907, 695.95962732919259)",-0.286914654079,"(529.98265895953762, 712.7649325626204)",-1.005634832,True
"(489.30938697318004, 725.50191570881225)",-0.529098010547,"(520.82712215320907, 695.95962732919259)",-0.286914654079,"(530.01068999028178, 712.81729834791054)",-0.988988061863,True
"(489.46722454672243, 725.36634123663407)",-0.528956877133,"(520.80894308943084, 695.92987804878044)",-0.252647370875,"(530.00852272727275, 712.78598484848487)",-0.988784365954,True
"(489.48811188811192, 725.33799533799527)",-0.527217285611,"(520.97530864197529, 695.96296296296293)",-0.261275398063,"(530.12378167641316, 712.72417153996093)",-0.977011796799,True
"(489.50519357884792, 725.35694050991503)",-0.527815691916,"(520.97530864197529, 695.96296296296293)",-0.261275398063,"(530.12378167641316, 712.72417153996093)",-0.977011796799,True
"(489.67130273528045, 725.36578581363005)",-0.529121541739,"(521.08333333333326, 695.9457831325301)",-0.284333969734,"(530.14922480620146, 712.74903100775191)",-0.980980560916,True
